Source_Key,Source_Name,Source_Type
1,BIOSPACE,Other
2,BioPharma Dive,Industry
3,BioPharmaDive,Industry
4,BioWorld,Other
5,Biospectrum,Other
6,Business Weekly,Other
7,CEN,Other
8,EndpointsNews,News
9,EuropeanPharmaceuticalReview,Industry
10,FDA,Government
11,FierceBiotech,Industry
12,FiercePharma,Industry
13,GEN,Other
14,MDPI,Other
15,NatureBiotech,Industry
16,PRNewswire,News
17,PharmaTimes,News
18,PharmaVoice,Industry
19,PharmaceuticalTech,Industry
20,Pharmaphorum,Industry
21,STATNews,News
22,TheScientist,Other
