FinEventIndex,,FinEventKeyword,
F01,,acquisition ,
F02,,merger ,
F03,,partnership ,
F04,,collaboration ,
F05,,licensing ,
F06,,buyout ,
F07,,takeover ,
F08,,biotech deal ,
F09,,pharma deal ,
F10,,mergers & acquisitions,
F10,,M&A,
F11,,alliance ,
F12,,option agreement ,
F13,,co-development ,
F14,, in-license,
F15,,out-license ,
F16,,clinical stage ,
F16,,clinical-stage ,
F17,,Phase 2,
F18,,Phase 3,
F19,,FDA approval ,
F20,,funding ,
F21,,financing ,
F22,,investment ,
F23,,raises ,
F24,,Series A,
F25,,Series B,
F26,,Series C,
F27,,venture capital,
F27,,VC,
F28,,IPO ,
F29,,private placement ,
F30,,round,
F30,,funding round,
F31,,capital raise ,
F32,,oversubscribed,  (indicates strong investor interest)
F33,,seed funding ,
F34,,crossover round ,
F35,,PIPE,
F35,,Private Investment in Public Equity,
F36,,dilutive financing,
F37,,non-dilutive funding ,
F38,,led by,  (often precedes lead investor names)
F39,,participated ,
F40,,syndicate ,
F41,,biotech funding ,
F42,,preclinical ,
F43,,platform company ,
F44,,therapeutic ,
